playerID,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,classification
munsoth01,Player,1423,0.2915,113,701,696,1558,1184,229,32,48,0.34648078884733086,0.4098,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1311,6342,742,85,NULL,NULL,NULL,NULL,7,10,NULL,N
pinsova01,Player,2469,0.2858,256,1170,1366,2757,1889,485,127,305,0.32702154381219206,0.4421,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2419,5145,173,33,NULL,NULL,NULL,NULL,4,1,NULL,N
perryji01,Player,635,0.1991,5,59,73,177,147,22,3,0,0.22820236813778255,0.2475,630,215,174,0.5527,3.4459,109,32,10,3285.6668,1576,631,191,506,33,NULL,NULL,NULL,NULL,3,2,NULL,N
mcnalda01,Player,425,0.1327,9,43,49,97,65,23,0,0,0.1962025316455696,0.2011,424,184,119,0.6073,3.2374,120,33,2,2730.0000,1512,424,97,417,37,NULL,NULL,NULL,NULL,3,1,NULL,N
osteecl01,Player,588,0.1884,8,76,90,207,162,31,6,2,0.21720243266724587,0.2493,541,196,195,0.5013,3.2979,140,40,1,3460.3332,1612,542,159,699,37,NULL,NULL,NULL,NULL,3,NULL,NULL,N
beckegl01,Player,1320,0.2828,22,360,685,1473,1224,196,31,49,0.3177366702937976,0.3450,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1249,2712,3719,758,NULL,NULL,NULL,NULL,4,4,NULL,N
brownga01,Player,1051,0.2573,84,322,330,582,401,78,19,30,0.3303149606299213,0.4200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,429,693,23,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
cardele01,Player,1941,0.2572,118,689,662,1725,1273,285,49,39,0.31143052703627655,0.3671,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1915,3271,5429,1050,NULL,NULL,NULL,NULL,5,2,NULL,N
mcdanli01,Player,988,0.1481,3,17,19,56,42,11,0,0,0.16795865633074936,0.2011,987,141,119,0.5423,3.4539,18,2,172,2139.3334,1361,987,127,447,28,NULL,NULL,NULL,NULL,2,2,NULL,N
northji01,Player,1392,0.2673,153,610,603,1254,841,218,42,39,0.33326923076923076,0.4295,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1301,2715,73,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
siebeso01,Player,405,0.1727,12,57,52,114,77,22,3,0,0.20434782608695654,0.2697,399,140,114,0.5512,3.2077,67,21,16,2152.0000,1512,399,159,329,28,NULL,NULL,NULL,NULL,2,NULL,NULL,N
berryke01,Player,1384,0.2546,58,343,422,1053,822,150,23,45,0.30819013613032803,0.3441,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1312,2722,85,15,NULL,NULL,NULL,NULL,1,2,NULL,N
briggjo02,Player,1366,0.2529,139,507,601,1041,689,170,43,64,0.354932502596054,0.4163,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1213,3389,184,152,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
handsbi01,Player,374,0.0784,0,19,19,37,31,6,0,0,0.14980544747081712,0.0911,374,111,110,0.5023,3.3537,72,17,14,1951.0000,1128,374,140,297,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
lockebo01,Player,168,0.2551,1,12,12,25,22,2,0,0,0.3177570093457944,0.3061,165,16,15,0.5161,4.0176,2,2,10,416.6666,194,165,39,83,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
maxvida01,Player,1423,0.2173,6,252,302,748,639,79,24,7,0.29292403746097817,0.2594,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1401,1974,3684,714,NULL,NULL,NULL,NULL,NULL,1,NULL,N
mcauldi01,Player,1763,0.2474,197,697,888,1530,1031,231,71,63,0.3429172510518934,0.4032,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1783,3267,4225,891,NULL,NULL,NULL,NULL,3,NULL,NULL,N
mcdowsa01,Player,429,0.1537,2,36,34,119,108,7,2,0,0.1710691823899371,0.1757,425,141,134,0.5127,3.1741,103,23,14,2492.3333,2453,427,80,328,23,NULL,NULL,NULL,NULL,6,2,NULL,N
fosteru99,Manager,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y
mizejo01,Player,1884,0.3121,359,1337,1118,2011,1202,367,83,28,0.3970888314515032,0.5620,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1675,14862,1033,1320,NULL,NULL,NULL,NULL,10,13,NULL,Y
aaronha01,Player,3298,0.3050,755,2297,2174,3771,2294,624,98,240,0.3739492779653711,0.5545,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3020,7436,429,218,NULL,NULL,NULL,NULL,25,16,NULL,Y
robinfr02,Player,2808,0.2941,586,1812,1829,2943,1757,528,72,204,0.3889646938427426,0.5370,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2450,6346,333,263,2242,1065,1176,4.4375,14,15,2,Y
willibi01,Player,2488,0.2899,426,1475,1410,2711,1763,434,88,90,0.3614308819332128,0.4919,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2184,4367,219,96,NULL,NULL,NULL,NULL,6,7,NULL,N
olivato01,Player,1676,0.3042,220,947,870,1917,1320,329,48,86,0.3530954115076475,0.4764,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1178,2332,71,19,NULL,NULL,NULL,NULL,8,9,NULL,N
davisto02,Player,1999,0.2936,153,1052,811,2121,1661,272,35,136,0.328920041536864,0.4045,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1445,2429,326,72,NULL,NULL,NULL,NULL,3,3,NULL,N
petrori01,Player,1553,0.2508,210,773,653,1352,883,237,22,10,0.33240952070427127,0.4199,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1508,1886,3750,589,NULL,NULL,NULL,NULL,2,1,NULL,N
breweji01,Player,586,0.1500,0,9,2,21,19,2,0,1,0.2119205298013245,0.1643,584,69,65,0.5149,3.0701,1,1,132,1040.6667,810,584,30,150,10,NULL,NULL,NULL,NULL,1,NULL,NULL,N
freehbi01,Player,1774,0.2620,200,758,706,1591,1115,241,35,24,0.33974639265413203,0.4120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1740,11235,813,196,NULL,NULL,NULL,NULL,11,9,NULL,N
harpeto01,Player,1810,0.2567,146,567,972,1609,1171,256,36,408,0.3381772009029345,0.3788,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1618,2823,787,121,NULL,NULL,NULL,NULL,1,NULL,NULL,N
johnsal01,Player,1322,0.2879,78,525,550,1331,1040,180,33,113,0.3263776337115073,0.3917,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1641,61,9,NULL,NULL,NULL,NULL,1,NULL,NULL,N
johnsde01,Player,1765,0.2436,245,923,706,1447,922,247,33,11,0.3105796882094748,0.4200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1461,7038,974,629,NULL,NULL,NULL,NULL,NULL,1,NULL,N
jonescl01,Player,1213,0.2806,93,524,565,1196,887,183,33,91,0.3392857142857143,0.4044,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1146,2280,83,22,NULL,NULL,NULL,NULL,1,1,NULL,N
