playerID,feature1,feature2,classification
vanceda01,2.1968,0.1538,N
foxxji01,3.5106,0.7557,N
pennohe01,1.9581,0.1742,N
jossad01,2.7601,0.1554,N
ruckena01,2.3958,0.1310,N
adamsba01,2.1141,0.1639,N
marquru01,2.0653,0.1175,N
woodjo02,2.8046,0.3822,N
donovbi01,2.8366,0.3094,N
gomezle01,2.4565,0.1603,N
lyonste01,2.2170,0.2298,N
burkeje01,4.0760,0.8325,N
coombja01,2.4130,0.2674,N
bradlbi01,3.7166,0.5161,N
chesbja01,2.8066,0.2163,N
clarkjo01,3.6154,0.4652,N
dinnebi01,2.7410,0.2374,N
dunnja01,3.3102,0.4020,N
hoytwa01,1.9095,0.1424,N
martipe01,3.4626,0.6341,N
nichoki01,3.2142,0.4206,N
phillde01,2.5995,0.2546,N
sparktu01,2.5495,0.1438,N
tanneje01,2.7866,0.3735,N
tennefr01,3.7568,0.4865,N
burkeje01,4.0760,0.8325,Y
chesbja01,2.8066,0.2163,Y
griffcl01,2.8454,0.4165,Y
mccarto01,4.0220,0.8384,Y
mcginjo01,2.7191,0.2285,Y
planked01,2.5508,0.2063,Y
wadderu01,2.6000,0.1488,Y
walshed01,2.3704,0.2026,Y
hubbeca01,2.4075,0.1776,Y
grovele01,2.2116,0.1922,Y
deandi01,2.2062,0.2338,N
pennohe01,1.9581,0.1742,N
bendech01,2.2623,0.2012,N
vanceda01,2.1968,0.1538,N
woodjo02,2.8046,0.3822,N
adamsba01,2.1141,0.1639,N
marquru01,2.0653,0.1175,N
foxxji01,3.5106,0.7557,N
rixeyep01,2.1931,0.1369,N
dyered01,1.2171,0.2403,N
gelbech01,3.2751,0.4543,N
gomezle01,2.4565,0.1603,N
haineje01,2.0071,0.1357,N
kellyge01,3.6948,0.5049,N
pennohe01,1.9581,0.1742,Y
foxxji01,3.5106,0.7557,N
deandi01,2.2062,0.2338,N
vanceda01,2.1968,0.1538,N
gomezle01,2.4565,0.1603,N
lyonste01,2.2170,0.2298,N
grimebu01,2.4288,0.2484,N
hoytwa01,1.9095,0.1424,N
martipe01,3.4626,0.6341,N
marquru01,2.0653,0.1175,N
bendech01,2.2623,0.2012,N
dykesji01,3.5259,0.4855,N
rixeyep01,2.1931,0.1369,N
woodjo02,2.8046,0.3822,N
adamsba01,2.1141,0.1639,N
odoulle01,3.3649,0.6433,N
ruffire01,2.1961,0.2347,N
earnsge01,2.2069,0.1912,N
faberre01,1.8940,0.1463,N
rommeed01,1.6292,0.1578,N
rootch01,1.7184,0.1361,N
